ADAL,inter
ADAR,inter
ADEL,sensory
ADER,sensory
ADFL,sensory
ADFR,sensory
ADLL,sensory
ADLR,sensory
AFDL,sensory
AFDR,sensory
AIAL,inter
AIAR,inter
AIBL,inter
AIBR,inter
AIML,inter
AIMR,inter
AINL,inter
AINR,inter
AIYL,inter
AIYR,inter
AIZL,inter
AIZR,inter
ALA,sensory
ALML,sensory
ALMR,sensory
ALNL,sensory
ALNR,sensory
AQR,sensory
AS01,motor
AS02,motor
AS03,motor
AS04,motor
AS05,motor
AS06,motor
AS07,motor
AS08,motor
AS09,motor
AS10,motor
AS11,motor
ASEL,sensory
ASER,sensory
ASGL,sensory
ASGR,sensory
ASHL,sensory
ASHR,sensory
ASIL,sensory
ASIR,sensory
ASJL,sensory
ASJR,sensory
ASKL,sensory
ASKR,sensory
AUAL,inter
AUAR,inter
AVAL,inter
AVAR,inter
AVBL,inter
AVBR,inter
AVDL,inter
AVDR,inter
AVEL,inter
AVER,inter
AVFL,inter
AVFR,inter
AVG,inter
AVHL,inter
AVHR,inter
AVJL,inter
AVJR,inter
AVKL,inter
AVKR,inter
AVL,motor
AVM,sensory
AWAL,sensory
AWAR,sensory
AWBL,sensory
AWBR,sensory
AWCL,sensory
AWCR,sensory
BAGL,sensory
BAGR,sensory
BDUL,inter
BDUR,inter
CEPDL,sensory
CEPDR,sensory
CEPVL,sensory
CEPVR,sensory
DA01,motor
DA02,motor
DA03,motor
DA04,motor
DA05,motor
DA06,motor
DA07,motor
DA08,motor
DA09,motor
DB01,motor
DB02,motor
DB03,motor
DB04,motor
DB05,motor
DB06,motor
DB07,motor
DD01,motor
DD02,motor
DD03,motor
DD04,motor
DD05,motor
DD06,motor
DVA,inter
DVB,motor
DVC,inter
FLPL,sensory
FLPR,sensory
HSNL,motor
HSNR,motor
IL1DL,sensory
IL1DR,sensory
IL1L,sensory
IL1R,sensory
IL1VL,sensory
IL1VR,sensory
IL2DL,sensory
IL2DR,sensory
IL2L,sensory
IL2R,sensory
IL2VL,sensory
IL2VR,sensory
LUAL,inter
LUAR,inter
OLLL,sensory
OLLR,sensory
OLQDL,sensory
OLQDR,sensory
OLQVL,sensory
OLQVR,sensory
PDA,motor
PDB,motor
PDEL,sensory
PDER,sensory
PHAL,sensory
PHAR,sensory
PHBL,sensory
PHBR,sensory
PHCL,sensory
PHCR,sensory
PLML,sensory
PLMR,sensory
PLNL,inter
PLNR,inter
PQR,sensory
PVCL,inter
PVCR,inter
PVDL,sensory
PVDR,sensory
PVM,sensory
PVNL,inter
PVNR,inter
PVPL,inter
PVPR,inter
PVQL,inter
PVQR,inter
PVR,inter
PVT,inter
PVWL,inter
PVWR,inter
RIAL,inter
RIAR,inter
RIBL,inter
RIBR,inter
RICL,inter
RICR,inter
RID,inter
RIFL,inter
RIFR,inter
RIGL,inter
RIGR,inter
RIH,inter
RIML,motor
RIMR,motor
RIPL,inter
RIPR,inter
RIR,inter
RIS,inter
RIVL,inter
RIVR,inter
RMDDL,motor
RMDDR,motor
RMDL,motor
RMDR,motor
RMDVL,motor
RMDVR,motor
RMED,motor
RMEL,motor
RMER,motor
RMEV,motor
RMFL,motor
RMFR,motor
RMGL,inter
RMGR,inter
RMHL,motor
RMHR,motor
SAADL,inter
SAADR,inter
SAAVL,inter
SAAVR,inter
SABD,motor
SABVL,motor
SABVR,motor
SDQL,inter
SDQR,inter
SIADL,motor
SIADR,motor
SIAVL,motor
SIAVR,motor
SIBDL,motor
SIBDR,motor
SIBVL,motor
SIBVR,motor
SMBDL,motor
SMBDR,motor
SMBVL,motor
SMBVR,motor
SMDDL,motor
SMDDR,motor
SMDVL,motor
SMDVR,motor
URADL,sensory
URADR,sensory
URAVL,sensory
URAVR,sensory
URBL,sensory
URBR,sensory
URXL,sensory
URXR,sensory
URYDL,sensory
URYDR,sensory
URYVL,sensory
URYVR,sensory
VA01,motor
VA02,motor
VA03,motor
VA04,motor
VA05,motor
VA06,motor
VA07,motor
VA08,motor
VA09,motor
VA10,motor
VA11,motor
VA12,motor
VB01,motor
VB02,motor
VB03,motor
VB04,motor
VB05,motor
VB06,motor
VB07,motor
VB08,motor
VB09,motor
VB10,motor
VB11,motor
VC01,motor
VC02,motor
VC03,motor
VC04,motor
VC05,motor
VD01,motor
VD02,motor
VD03,motor
VD04,motor
VD05,motor
VD06,motor
VD07,motor
VD08,motor
VD09,motor
VD10,motor
VD11,motor
VD12,motor
VD13,motor
